"Function Name"	"Grid
Dimensions"	"Block
Dimensions"	"Start Time
(μs)"	"Duration
(μs)"	"Occupancy"	"Registers
per Thread"	"Static Shared
Memory per
Block (bytes)"	"Dynamic Shared
Memory per
Block (bytes)"	"Cache
Configuration
Executed"	"Global
Caching
Requested"	"Global
Caching
Executed"	"Local Memory
per Thread
(bytes)"	"Device
Name"	"Context
ID"	"Stream
ID"	"Process
Name"	"Occupancy [0]:
Allocated Warps
Per Block"	"Occupancy [0]:
Allocated Registers
Per Block"	"Occupancy [0]:
Allocated Shared Memory
Per Block"	"Occupancy [0]:
Max Block Limit
Warps"	"Occupancy [0]:
Max Block Limit
Registers"	"Occupancy [0]:
Max Block Limit
Shared Memory"	"Occupancy [0]:
Block Limit Reason"	"Instruction Stats [2]:
GPU Issued IPC"	"Instruction Stats [2]:
GPU Executed IPC"	"Instruction Stats [2]:
GPU SM Activity"	"Instruction Stats [2]:
GPU SM Average IPW"	"Instruction Stats [2]:
GPU Serialization"	"Achieved Occupancy [1]:
Achieved Occupancy"
"DeviceRadixSortDownsweepKernel<PtxDownsweepPolicy,bool=0,int,PointStruct,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"10304538.207"	"5791.296"	"0.125"	"255"	"9400"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"9472"	"16"	"2"	"10"	"Registers"	"0.18160107323332"	"0.181600189571887"	"0.971554389821497"	"41101.7575"	"4.86594829455507E-06"	"0.12403437093858"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,PointStruct,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"9643882.815"	"4929.184"	"0.125"	"255"	"5240"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"5376"	"16"	"2"	"18"	"Registers"	"0.183513878729471"	"0.183512838848718"	"0.967782165446287"	"35294.9775"	"5.66649650649866E-06"	"0.124012663332387"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,PointStruct,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"9322892.351"	"4924.288"	"0.125"	"255"	"5240"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"5376"	"16"	"2"	"18"	"Registers"	"0.183959162261641"	"0.183958119857691"	"0.967887530561114"	"35294.9775"	"5.66649650649866E-06"	"0.12402221349391"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,PointStruct,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"9970341.983"	"4921.728"	"0.125"	"255"	"5240"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"5376"	"16"	"2"	"18"	"Registers"	"0.183943149318885"	"0.183942107005672"	"0.968901319899662"	"35294.9775"	"5.66649650649866E-06"	"0.124036476329834"
"cuda_eliminate_conflict"	"{505, 1, 1}"	"{256, 1, 1}"	"15566995.615"	"4749.152"	"0.5"	"62"	"0"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"8"	"16384"	"0"	"8"	"4"	"2147483647"	"Registers"	"0.433592597416831"	"0.433587794302925"	"0.901713152840324"	"14300.550990099"	"1.10774813393769E-05"	"0.290822587608819"
"DeviceRadixSortDownsweepKernel<PtxDownsweepPolicy,bool=0,int,Point2D,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"8173270.367"	"2322.816"	"0.125"	"255"	"9400"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"9472"	"16"	"2"	"10"	"Registers"	"0.18539444706998"	"0.185392167436779"	"0.944034911685112"	"16265.0875"	"1.22961244921124E-05"	"0.124596811112318"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,Point2D,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"7853624.671"	"2021.76"	"0.125"	"255"	"6216"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"6400"	"16"	"2"	"15"	"Registers"	"0.185816779860497"	"0.185814185717003"	"0.949716043212061"	"14325.6675"	"1.39607601424486E-05"	"0.124592494418625"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,Point2D,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"7247952.255"	"2017.76"	"0.125"	"255"	"6216"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"6400"	"16"	"2"	"15"	"Registers"	"0.187314582459401"	"0.187311967405444"	"0.946988187142215"	"14325.6675"	"1.39607601424486E-05"	"0.124591708527101"
"DeviceRadixSortDownsweepKernel<PtxAltDownsweepPolicy,bool=0,int,Point2D,int>"	"{200, 1, 1}"	"{128, 1, 1}"	"7548921.439"	"2013.952"	"0.125"	"255"	"6216"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"4"	"32768"	"6400"	"16"	"2"	"15"	"Registers"	"0.18727945237575"	"0.187276837812236"	"0.94186154212696"	"14325.6675"	"1.39607601424486E-05"	"0.12399528740992"
"launch_closure_by_value<copy_if_intervals_closure<Point2D*,transform_iterator<predicate_to_integral<is_true,int>,bool*,int,use_default>,normal_iterator<pointer<int,par_t,use_default,use_default>>,uniform_decomposition<int>,Point2D*,statically_blocked_thread_array<uint=256>>>"	"{127, 1, 1}"	"{256, 1, 1}"	"15892867.935"	"1139.776"	"0.125"	"205"	"1024"	"0"	"PREFER_SHARED"	"ON"	"ON"	"0"	"GeForce GTX 1080"	"1"	"1"	"RTGPU_vs2013.exe"	"8"	"53248"	"1024"	"8"	"1"	"96"	"Registers"	"0.260730238304725"	"0.260725391005849"	"0.901277316357786"	"8470.51476377953"	"1.85912416892792E-05"	"0.124965663173666"
